Features,Labels,Encoded Labels
scm message detail  search on message for scm transaction returns no results,3.0-4.0,Task4
scm super user uw ref correction does not allow to populatecorrect all uw ref,2.0-3.0,Task3
add parameter to xlsior export for aviation data only,4.0-7.0,Task5
statistical figures books fail with an sql syntax error,1.0-2.0,Task2
advise  ixctrldt dates,4.0-7.0,Task5
search control object,1.0-2.0,Task2
search control object  default value based on sql sqery,4.0-7.0,Task5
attempt to change event on scm line causes fatal crash,1.0-2.0,Task2
attempt to view event tab on scm causes fatal crash,3.0-4.0,Task4
usm reconcililation requires in criteria for syndicate search field,4.0-7.0,Task5
utility to allow multiple syndicates to run on individual machines needs to be live,4.0-7.0,Task5
risk history screen displays on dev system but not on live system,4.0-7.0,Task5
event change caused form event not handled  load completed exception,1.0-2.0,Task2
linked usm scm grids on risk entry screen shows  items even if rows return  ,0.0-1.0,Task1
clicking on ri reinstatement tab causes fatal crash,1.0-2.0,Task2
usm search fails when statistical parameter entered,0.0-1.0,Task1
fil code missing from  xlsior export,0.0-1.0,Task1
scm entry broker field should show the claim broker contact and phone no as a tooltip,4.0-7.0,Task5
 xlsior export fails,1.0-2.0,Task2
allow named groups in search control,10.0-23.0,Task7
net triangle figures into warehouse,10.0-23.0,Task7
exchange rate difference report  show as at movement only,1.0-2.0,Task2
ri figuresnett position differs on search screen to claim entry screen,1.0-2.0,Task2
unhandled exception,4.0-7.0,Task5
allow meaningful filenames for all statistical exports,0.0-1.0,Task1
add new or search feature in core,4.0-7.0,Task5
marked for deletion default on search screen annoys users,2.0-3.0,Task3
add filter to comparator to select specific items to compare,10.0-23.0,Task7
usm split capability  add support for ri accrual splitting by iitype,23.0-100.0,Task8
when correcting usmscm items any autocorrection errors should be marked as clear,10.0-23.0,Task7
usm validation error bug,3.0-4.0,Task4
third grid export type required  export all rows,4.0-7.0,Task5
usm only supersearch required,10.0-23.0,Task7
usm search needs streamlining,4.0-7.0,Task5
add two phases to master supersearch,10.0-23.0,Task7
scm entry screen os figures should be consistantly displayed on screen,23.0-100.0,Task8
scm entry nett figures are currently not displayed,10.0-23.0,Task7
scm movement date to be added to scm validation errors,4.0-7.0,Task5
 duplicate lines appearing,1.0-2.0,Task2
scm entry screen saving linked policies stop forced saves,3.0-4.0,Task4
move  warehouse to live,1.0-2.0,Task2
triangulation  allow all currencies to be shown,1.0-2.0,Task2
risk status needs a usmscm can attach flag,4.0-7.0,Task5
 usm search returning duplicate rows,0.0-1.0,Task1
add ori ref to usm search parameters and results,0.0-1.0,Task1
add scm supersearch to scms,4.0-7.0,Task5
doubleclick to open risk from scm line doesnt work on uwref field,1.0-2.0,Task2
crash on attempting to open risk from scm when risk line does not exist,4.0-7.0,Task5
update loaddata in scm object,0.0-1.0,Task1
database selector,10.0-23.0,Task7
scm validation rule to be evented,3.0-4.0,Task4
amalgamate triangulation and triangulation complete,23.0-100.0,Task8
jobname truncated in metabatchjobruntimecontrol  find out why,0.0-1.0,Task1
system exit fails to cancel,4.0-7.0,Task5
selectively disable auditing eg during scm validation,4.0-7.0,Task5
add figures books to stats menu for meaningful export to excel,4.0-7.0,Task5
double click on grid after new event entered causes crash,3.0-4.0,Task4
add errorhandling to search control so it doesnt crash app if lookup values bad,0.0-1.0,Task1
set field access should only remove mandatory field  validations,4.0-7.0,Task5
scm entry split add  event code entry,4.0-7.0,Task5
release version scms  to syndicate ,4.0-7.0,Task5
update release procedures document to cater for new sip comparator software,3.0-4.0,Task4
add new reference node to sipcomparator,3.0-4.0,Task4
search control parameters not applied in order when order is  ,0.0-1.0,Task1
scm lines were being added with  uw references,4.0-7.0,Task5
usmmessagedetail on synd  conversion,3.0-4.0,Task4
alter column doesnt work if there is a default,4.0-7.0,Task5
comparator crashes when connection is cut,4.0-7.0,Task5
on the table summary in the comparator need a drop table statement,3.0-4.0,Task4
need a new node to show if the columns are identical apart from defaults,4.0-7.0,Task5
difference count in sipcomparator is incorrect,1.0-2.0,Task2
add more clean text functionailty to sipcomparator,4.0-7.0,Task5
scm screen tab ordering needs setting,1.0-2.0,Task2
usmri search on stat codes fails,3.0-4.0,Task4
grid export grid columns should export using the same formats as displayed in the grid,10.0-23.0,Task7
usmmessagetransactionconversion,10.0-23.0,Task7
calculation order is defined on the link between the risk and layer and not the layer itself,10.0-23.0,Task7
risk manual entry option should be unavailable if user not in roleusersrisk,2.0-3.0,Task3
scm screen needs to display fully in readonly form when user not in roleusersscm,4.0-7.0,Task5
event searchedit needs to be set to readonly when user not in roleeventsadmin,3.0-4.0,Task4
ri manual entrystatistical code fields remain readonly instead of standard access,1.0-2.0,Task2
keep warehouse refcurrencyexchangeratetable synchronised with triggers,0.0-1.0,Task1
spricalculate fails due to rilayeruniqueid having two possible choices,1.0-2.0,Task2
comparator could do with a stop button that can cancel a search without crashing,4.0-7.0,Task5
sprefcleanaudittable hardcoded for synd  in all synds,0.0-1.0,Task1
create an sipdecisiontable object to aid complex decision code readability,1.0-2.0,Task2
synd   scm  xl ri data not matching intech,1.0-2.0,Task2
synd   scm  xl ri data not matching intech,1.0-2.0,Task2
synd   scm  xl ri data not matching intech,1.0-2.0,Task2
synd   scm  xl ri data not matching intech,1.0-2.0,Task2
 xlsior export doesnt seem to be including all figures  investigate and fix,1.0-2.0,Task2
synd   close usm for months prior to ,1.0-2.0,Task2
synd   close scm for months prior to ,1.0-2.0,Task2
synd  remove ri manual checked period close item,1.0-2.0,Task2
validation errors in no order and they jump around when you addremove one,0.0-1.0,Task1
  not a valid user in  warehouse causing error on risk screen,0.0-1.0,Task1
triangulation figures look incorrect,1.0-2.0,Task2
problem entering task that is already complete,4.0-7.0,Task5
roe updater component  ,4.0-7.0,Task5
 scm search  search on specified eventcode brings back all claims,4.0-7.0,Task5
usm no longer shows linked risk,3.0-4.0,Task4
update filter search fields sp to bring back mixed statistical codes for usm searches,3.0-4.0,Task4
database selector allows you to type in free text but crashes if what you type isnt on its list,0.0-1.0,Task1
usmmessageline on synd  conversion,23.0-100.0,Task8
set multiple syndicate users up with both   systems,2.0-3.0,Task3
risk manual entry fails to load,1.0-2.0,Task2
 system licence for xxx ,0.0-1.0,Task1
 figures books figures for september dont match open box,23.0-100.0,Task8
bug in warehouse build  usms counted multiple times for multiple section limits,0.0-1.0,Task1
scms licence keys required for new users,0.0-1.0,Task1
 system licence   ,0.0-1.0,Task1
scms system training machines setup,1.0-2.0,Task2
cannot add new event  save fails,1.0-2.0,Task2
scm events  if two new events added at same time claim will not save,1.0-2.0,Task2
xlsior export to exclude single claim,0.0-1.0,Task1
scm claim search message reference to include user number as prefix,1.0-2.0,Task2
usmmessagenarrative  conversion,4.0-7.0,Task5
scm ri calculations  allow user to specify if run on save,3.0-4.0,Task4
 has a claim which displays no movements,1.0-2.0,Task2
 split claims user support,0.0-1.0,Task1
 user licences need to be regenerated,0.0-1.0,Task1
event search original event code,23.0-100.0,Task8
triangles showing too many years of account,0.0-1.0,Task1
install reporting services sp on ltdhq,4.0-7.0,Task5
errors exporting reports to excel,4.0-7.0,Task5
synd  set manual entry    outstanding reserve to ,0.0-1.0,Task1
june  data conversion differences found for ,23.0-100.0,Task8
events still missing on reports,4.0-7.0,Task5
 daily movement report to include  and  syndicates,4.0-7.0,Task5
 syndicate paid amounts,4.0-7.0,Task5
risk search section code missing,0.0-1.0,Task1
risk search show fac ri indicator on the line section,1.0-2.0,Task2
risk search in the risk summary what is risk group,0.0-1.0,Task1
risk entry add fields trust fund and fil code,4.0-7.0,Task5
usmumrtable  data conversion  ,1.0-2.0,Task2
triangulation  incurred calculation appears wrong,4.0-7.0,Task5
risk detail tick box needed if declarations attached,4.0-7.0,Task5
new report for ,4.0-7.0,Task5
add new search critera to claim summary report for  ,4.0-7.0,Task5
sort out report naming,4.0-7.0,Task5
search control throws exception when operator is is  or is not ,0.0-1.0,Task1
check that triangulation ri is calculated correctly particularly ri outstanding,1.0-2.0,Task2
risk detail scroll bar has gone from the epiexposure,0.0-1.0,Task1
what is top statistics tab for,0.0-1.0,Task1
 system licence required for  ,0.0-1.0,Task1
event search screen event totals tab no longer displaying figures,0.0-1.0,Task1
auto publishing of the daily claims movement report,4.0-7.0,Task5
extend daily claim movement reoprt for ,4.0-7.0,Task5
risk history  view usm  scm not working,3.0-4.0,Task4
usmtreatystatement,4.0-7.0,Task5
grouped search does not behave correctly on save,0.0-1.0,Task1
test  conversion on live datalatest  schema and update as needed,3.0-4.0,Task4
allow combo box and search control to be unsorted,1.0-2.0,Task2
group control behaves wrongly when no items selected,1.0-2.0,Task2
task system  add facility to add a block of tasks,4.0-7.0,Task5
printing a task,7.0-10.0,Task6
printing a task,7.0-10.0,Task6
supersearch should to group ca categories lpso cat on usm supersearch,3.0-4.0,Task4
stats control title is poorly formatted,1.0-2.0,Task2
move triangulation stats control code from technical core to scms if feasible  investigate first,3.0-4.0,Task4
event search  as at event date search fails,0.0-1.0,Task1
deploy  test on prd,3.0-4.0,Task4
synd  scm validation error for manual ri to be checked not displaying,0.0-1.0,Task1
llaim movement report meta data b roken on  live,0.0-1.0,Task1
ltdhq failed  disk space,1.0-2.0,Task2
scm validation  delete duplicate data should call sub procedures dynamically,10.0-23.0,Task7
syndicate  usmscm validation conversion,4.0-7.0,Task5
risk section fields area and basisloss basis need sorting out on ,3.0-4.0,Task4
add claimantinterest to scm search and results grid,1.0-2.0,Task2
scm entry add calculation order  ceeded percentage to ri grid column,10.0-23.0,Task7
report subscriptions do not work correctly on ltdhq ,4.0-7.0,Task5
triangulation add a totalsonly option,0.0-1.0,Task1
search group control optimise behaviour when selecting group from drop down,0.0-1.0,Task1
triangulation remove sign on ri parameter,0.0-1.0,Task1
grid export fails if a numeric column contains s,0.0-1.0,Task1
comparator should ignore identity columns when comparing refmeta data,3.0-4.0,Task4
add ii group and ii type as return fields on usm supersearch,1.0-2.0,Task2
add ii group and ii type as return fields on scm supersearch,1.0-2.0,Task2
update inlookupsql to make sure ordering is correct,0.0-1.0,Task1
monthyear datetimepicker crashes app when set to september,0.0-1.0,Task1
synd   dummy ri policies need to be fixed to handle new system developments,0.0-1.0,Task1
 sps need bringing in line with s to allow for usm ri stats,0.0-1.0,Task1
check the claims to be netted down to zero fronting items report ,4.0-7.0,Task5
manual ri override is missing,4.0-7.0,Task5
apportionment of ri amounts to fac stub,4.0-7.0,Task5
produce a report of all instances where ri is recorded against fac stub and a valid policy,4.0-7.0,Task5
 fronting items claims to be netted down to zero  report broken,1.0-2.0,Task2
scm claim update movement of lines with other tab pages,3.0-4.0,Task4
synd  remove ri fac and xl stubs where no physical recovery exists,3.0-4.0,Task4
synd   ri policies attached to usm policies are not found,0.0-1.0,Task1
riskrisk  data conversion,10.0-23.0,Task7
ri conversion for ,10.0-23.0,Task7
 system user setup,0.0-1.0,Task1
comparator  on trigger transfers indentations not copied successfully,3.0-4.0,Task4
comparator  a lot of table index transfers fail,1.0-2.0,Task2
search control  saved searches  exception handling,4.0-7.0,Task5
 period close issue,0.0-1.0,Task1
 user   does not have correct os to install net framework v,0.0-1.0,Task1
 usm super users want same access level to policies as usm items in suspense,0.0-1.0,Task1
should have a list to show which meta and ref tables are checked in comparator,1.0-2.0,Task2
search control bugs when using append mode with like operator,3.0-4.0,Task4
period close fails on scm  ,3.0-4.0,Task4
usm search  the statistics search fields doubling up ,0.0-1.0,Task1
add ri recoverable auditing to scm system,0.0-1.0,Task1
provide release notes for current release,4.0-7.0,Task5
usm reconciliations dont work,1.0-2.0,Task2
triangulation buildpriority of usm scm and risk data,4.0-7.0,Task5
adding a valid ri policy to a usm  policy in suspense  flags outwards ref error,0.0-1.0,Task1
  change daily scm subscription report to render as an excel file,0.0-1.0,Task1
extend report for  ,10.0-23.0,Task7
remove  from email subscriptions,0.0-1.0,Task1
 report,4.0-7.0,Task5
email subscriptions working inconsistantly,4.0-7.0,Task5
change  daily scm report,1.0-2.0,Task2
export is exporting s as  in tech core,1.0-2.0,Task2
new figures book report for ,4.0-7.0,Task5
claim movement  displaying incorrect split totals,3.0-4.0,Task4
server timings,3.0-4.0,Task4
investigate treaty cession percentage problems,2.0-3.0,Task3
investigate treaty generation paid report problem,2.0-3.0,Task3
investigate dail claims movement report problem,2.0-3.0,Task3
 want a new version ofthe daily claims movement report,4.0-7.0,Task5
 want a new figures book report to include riskcode breakdowns,4.0-7.0,Task5
need of splitting indicator required on the claimclaim summary,0.0-1.0,Task1
users request to add wildcards in front and behind like search criteria,1.0-2.0,Task2
risk conversion for ,23.0-100.0,Task8
add  hr file name extension to csv export,1.0-2.0,Task2
comparator  transfering rows form rimetafieldaccess fails because of the primary key,4.0-7.0,Task5
comparator  transfering a forign key that exists in both servers fails because no go statement,4.0-7.0,Task5
comparator  the pseudokeycolumns problem,0.0-1.0,Task1
comparator  unique keys are bunched together,3.0-4.0,Task4
comparator  checks need to be separated out,1.0-2.0,Task2
add getnextsequencenumber helper function to technical core,3.0-4.0,Task4
append mode in search control  display problem,0.0-1.0,Task1
conversion refevent table,3.0-4.0,Task4
search control group control lookup hard to navigate with many rows,7.0-10.0,Task6
update  ri conversion in light of spreadsheet risk conversion,10.0-23.0,Task7
event maintenance window  form actions,3.0-4.0,Task4
enhancement to mfr report,3.0-4.0,Task4
report request from claims ,4.0-7.0,Task5
usmreftables population script,4.0-7.0,Task5
multiple database users can only run scms if all releases go live at same time,4.0-7.0,Task5
analyse claims summary report data for  ,1.0-2.0,Task2
switch back on email attachments,1.0-2.0,Task2
xlsior backload of data,1.0-2.0,Task2
cant close auto upgrader window,0.0-1.0,Task1
need to allow  live to view ri in role users all,0.0-1.0,Task1
the profitloss graph on the risk screen shows incorrect figures and add tooltip to graph,4.0-7.0,Task5
test risk screen ri tab counter not working,0.0-1.0,Task1
update to limit ccy grid column on ri  adds in new limit row,1.0-2.0,Task2
test cannot delete ri layers,0.0-1.0,Task1
scm line grid shows child level statistics which causes scms to break,1.0-2.0,Task2
lloyds leader and slip leader to appear on scm claim ,4.0-7.0,Task5
outwards claim ref needs to be shown on usm grid ,3.0-4.0,Task4
scm update and save works once but another update and save fails,3.0-4.0,Task4
disable uwrcorrection menu if not in roleuwrcorrection,0.0-1.0,Task1
if not in roleusersscm only market figures viewable on movement,1.0-2.0,Task2
statistical control ignoring system field names for triangles,0.0-1.0,Task1
bug in usm figure base warehouse calculation,3.0-4.0,Task4
synd  update ri usm references for  ,0.0-1.0,Task1
export failing on very small numbers,3.0-4.0,Task4
another enhancement to mfr report,3.0-4.0,Task4
add tables refmetafieldaccess metaspecialprocessingcode to comparator,1.0-2.0,Task2
tables return in reverse order on comparator,1.0-2.0,Task2
add rounding capability to statistical control,1.0-2.0,Task2
add user friendly messages when validation is running or failed on last attempt,4.0-7.0,Task5
triangulation does not display radio buttons when no rows in selected currency,0.0-1.0,Task1
add new line on risk needs field access setup,1.0-2.0,Task2
xlsior proportionals export,23.0-100.0,Task8
scmusm supersearch fails on  synd as stats different to that of synd ,3.0-4.0,Task4
amend scmusm search to include like in fil code search,0.0-1.0,Task1
track down memory leak sources in search control,4.0-7.0,Task5
low memory warning,3.0-4.0,Task4
search for memory leaks for scm searchform,4.0-7.0,Task5
in search control like operator string needs trimming before wildcards added,0.0-1.0,Task1
drill down feature for statistics control,10.0-23.0,Task7
wild card adding doesnt work for the statistical controls key field,0.0-1.0,Task1
deleting scm split event cause error,0.0-1.0,Task1
on closing usm form dispose causing error on show policy button,3.0-4.0,Task4
correcting uwref on linked line via action superuser and saving causes error,4.0-7.0,Task5
 test systems message load job setup,2.0-3.0,Task3
minimum risk entry  save failed,0.0-1.0,Task1
create manual treaty ri policy,0.0-1.0,Task1
maybe useful to have link on risk history grid to open the other risk yoa,4.0-7.0,Task5
delete ri policy causes error,0.0-1.0,Task1
update uwref corrections on  live,3.0-4.0,Task4
update  statistics  previous update had errors,4.0-7.0,Task5
adding and deleteing events on scm causes system crash,4.0-7.0,Task5
risk screen cahange recognition   testing,1.0-2.0,Task2
scm line update of event not showing new event information,1.0-2.0,Task2
reference table  period close summary ,0.0-1.0,Task1
uwr corrections  reference table   testing,3.0-4.0,Task4
event serch crashing   testing,4.0-7.0,Task5
repeated searches cause ordering to go wonky,0.0-1.0,Task1
update advised lloyds claim position for ,1.0-2.0,Task2
 risk calculations need resetting,0.0-1.0,Task1
 test release to users with all riskusmscmri data,10.0-23.0,Task7
 test release to users with all riskusmscmri data,10.0-23.0,Task7
delete scm line with incorrect syndicate no,0.0-1.0,Task1
add an additional return column to scmsupersearch,2.0-3.0,Task3
 scm validation errors,3.0-4.0,Task4
add option for booked ri in triangles,23.0-100.0,Task8
 scm split check needs to be updated to hold  specific issues,0.0-1.0,Task1
claim movment c report  only showing event coded claims,3.0-4.0,Task4
usm narrative field access,1.0-2.0,Task2
add new narrative button should be disabled on posted usm transactions,0.0-1.0,Task1
 warehouse build,10.0-23.0,Task7
 warehouse build,10.0-23.0,Task7
need to push daily messages to dndexsyn,1.0-2.0,Task2
sprefperiodcloseriquotasharecalc needs a little work,3.0-4.0,Task4
bug in scm search totalling,1.0-2.0,Task2
bug in scm search totalling,1.0-2.0,Task2
add bureau signing details to warehouse from usm and scm,4.0-7.0,Task5
 usm triangles showing wrong figures,10.0-23.0,Task7
implement true asat triangles,1.0-2.0,Task2
error in outstanding figures in  triangles  investigate,1.0-2.0,Task2
implement accrual fac  qs net triangles,1.0-2.0,Task2
implement accrual fac  qs net triangles,1.0-2.0,Task2
implement final figure triangles,1.0-2.0,Task2
xlsior proportional extract  basic implementation,10.0-23.0,Task7
xlsior export  shift to warehouse,0.0-1.0,Task1
eliminate global temp tables from warehouse build,4.0-7.0,Task5
find out claims depts requirements for scm messagingdisplay,1.0-2.0,Task2
scm entry when changing movement reference user would like the current movement position kept,10.0-23.0,Task7
remove leading zeros from orig lpso no on usm,0.0-1.0,Task1
new role to control access to warehouse tables,1.0-2.0,Task2
diary event system  see notes attached,4.0-7.0,Task5
claims summary report event ,1.0-2.0,Task2
add new tab for effort and create corresponding tables,4.0-7.0,Task5
 conversion data population of  uwref corrections,4.0-7.0,Task5
add unique ids to sip ldex table structures,10.0-23.0,Task7
lpso date decoding broken on the scm,1.0-2.0,Task2
release version  of task system,0.0-1.0,Task1
lloyds currency only triangles,1.0-2.0,Task2
memory leaks exports not releasing memory,10.0-23.0,Task7
scmusmrisk supersearch crashes with  test,3.0-4.0,Task4
check warehouse syndicate specific procedures,4.0-7.0,Task5
uw ref correction screen  update not working correctly,0.0-1.0,Task1
uw ref correction screen  update not working correctly,0.0-1.0,Task1
field access problems on controls that are hidden behind tabs,0.0-1.0,Task1
scm search  hasreserveadjustments search fails,3.0-4.0,Task4
finish off  ri conversion,7.0-10.0,Task6
 usm split values,4.0-7.0,Task5
remove sip specific security procedures from reporting services,0.0-1.0,Task1
endorsements field access missing in  test database in hq,0.0-1.0,Task1
investigatefix remaining  quota share errors,4.0-7.0,Task5
investigatefix remaining  quota share errors,4.0-7.0,Task5
usm split columns,2.0-3.0,Task3
proportional accruals for figures book,4.0-7.0,Task5
diary events double clicking grid doesnt open associated form,7.0-10.0,Task6
diary event timer still ticking when the diary event pop up is displayed,0.0-1.0,Task1
diary event tasks  see notes,4.0-7.0,Task5
scm not filtering ri policies attached properly,3.0-4.0,Task4
link nonfac ri,4.0-7.0,Task5
some columns sometimes missing in porportional export,3.0-4.0,Task4
period close testing for disaster recovery setup,1.0-2.0,Task2
exit application dialog box not showing in release code,0.0-1.0,Task1
add auditing to refuwreferencecorrection,4.0-7.0,Task5
 live  mark fac indicator true for scm linked to fac ri,3.0-4.0,Task4
risk not opening,1.0-2.0,Task2
when resizing columns on grids data auto sorts itself,2.0-3.0,Task3
columns not autoresizing on lower resolution user monitors,0.0-1.0,Task1
synchronize reference tables,7.0-10.0,Task6
memory leaks on event search and entry screen,10.0-23.0,Task7
update figures book procedures to take account of new joint currencies,4.0-7.0,Task5
scm ri to be filtered per line,4.0-7.0,Task5
reports figures books failing to find key groups,0.0-1.0,Task1
add audit tab to uwr corrections,4.0-7.0,Task5
 test xlsior export needs to tie to correct  statistical reference,0.0-1.0,Task1
recent warehouse changes have broken risk history,0.0-1.0,Task1
include descriptions for qual cat on usm see attached document for codes,2.0-3.0,Task3
add descriptions to scm search fields,1.0-2.0,Task2
fix column widths in  xlsior export,0.0-1.0,Task1
update table list in comparator,4.0-7.0,Task5
conversion script for synd ,10.0-23.0,Task7
conversion script for synd ,4.0-7.0,Task5
conversion script for synd ,10.0-23.0,Task7
conversion script for ,7.0-10.0,Task6
some figures doubled in  figures books  investigate and fix,4.0-7.0,Task5
need to be able to choose figures books and triangle exchange rates,4.0-7.0,Task5
sip format figures book rows out of order,1.0-2.0,Task2
lookup search screens need to handle mouse clicks in text fields to navigate,7.0-10.0,Task6
ri cascade amounts forward not working,10.0-23.0,Task7
ri cascade amounts forward not working,10.0-23.0,Task7
risk endorsements  field access,0.0-1.0,Task1
 qs figures wrong  investigate,10.0-23.0,Task7
 qs figures wrong  investigate,10.0-23.0,Task7
risk search new roe column in scm tab,3.0-4.0,Task4
search control grouped items sometimes disappearing from selection,0.0-1.0,Task1
data update to event codes on  test,0.0-1.0,Task1
scm form sometimes crashes scms when moving between movementsasat dates,2.0-3.0,Task3
xlsior proportional download should take account of broker orders,3.0-4.0,Task4
mouse down event sometimes not firing after mouse up event,1.0-2.0,Task2
scm save split not taking into account multiple lines,10.0-23.0,Task7
usm reconciliation does not work for multiple syndicates,10.0-23.0,Task7
right click on grid also sorts the column too,4.0-7.0,Task5
period close report needss fixingenhancing,1.0-2.0,Task2
show event number on left hand side of screen instead of word maintainence ,10.0-23.0,Task7
need to take into account asat date on ref event get linked scm,4.0-7.0,Task5
need to take into account asat date on ref event get linked scm,4.0-7.0,Task5
super search filter fields not filtering correctly,3.0-4.0,Task4
extend claims summary event report,1.0-2.0,Task2
 mfr report,4.0-7.0,Task5
extend claims summary grossnet report,1.0-2.0,Task2
add history to uw corrections screen,7.0-10.0,Task6
add history to uw corrections screen,7.0-10.0,Task6
diary event system  cannot add diary event to ri,1.0-2.0,Task2
risk triangles to include ri,3.0-4.0,Task4
new technical core release into ,10.0-23.0,Task7
scm saving doesnt work,3.0-4.0,Task4
usm splits calculation not refreshing after reload to totals same as remaining,3.0-4.0,Task4
field access on usmline incorrect when adding a manual entry,4.0-7.0,Task5
scm manual entryadding line via uwref lookup resets other tabs field access,4.0-7.0,Task5
scm manual entryadding line via uwref lookup resets other tabs field access,4.0-7.0,Task5
scm uw ref correctionwhen populating and saving then saving claim disappears,0.0-1.0,Task1
usm contra warning about getactive,1.0-2.0,Task2
usm manual entry failing to save,3.0-4.0,Task4
ri layer stats not filtering properly on layer change when a ri layer stat changed,4.0-7.0,Task5
ri layer stats not filtering properly on layer change when a ri layer stat changed,4.0-7.0,Task5
scms application title,0.0-1.0,Task1
ri layer stats fails to refilter after a save,4.0-7.0,Task5
ri layer stats fails to refilter after a save,4.0-7.0,Task5
period close binddata method is called twice,3.0-4.0,Task4
usm validation  permissions problem,1.0-2.0,Task2
audit history tab in the scm entry form,1.0-2.0,Task2
audit history tab in the scm entry form,1.0-2.0,Task2
task system release v,10.0-23.0,Task7
task system release v,10.0-23.0,Task7
extend reporting services security,1.0-2.0,Task2
notes component  tooltip,0.0-1.0,Task1
going through sip scheduled test report for scms v,4.0-7.0,Task5
investigate  usm and scm paid differences,4.0-7.0,Task5
 raw data capture from reflection,3.0-4.0,Task4
send out job offers to   and  ,2.0-3.0,Task3
duplicate work started rows after conversion,0.0-1.0,Task1
super user should be able to update the effort dates,0.0-1.0,Task1
release reference data is not filtering correctly,0.0-1.0,Task1
reference data to be sorted alphabetically,0.0-1.0,Task1
reference data project codes need to filter according to security settings,0.0-1.0,Task1
setting task dependancies fail,0.0-1.0,Task1
error view displaying incorrect name,0.0-1.0,Task1
rename assignment status to estimated status,1.0-2.0,Task2
set default failing on search parameters,0.0-1.0,Task1
decision table reference in meta data but no longer required,0.0-1.0,Task1
reference table data should not show projects client is unauthorised to see,0.0-1.0,Task1
 user licencing not working user   and  ,0.0-1.0,Task1
reference table project permissions,0.0-1.0,Task1
metafilter permissions need fixing,0.0-1.0,Task1
enable operational status path,0.0-1.0,Task1
dependancy should be spelt dependency,2.0-3.0,Task3
cannot add planning effort,0.0-1.0,Task1
task dependency  direct task number entry,1.0-2.0,Task2
event caption not changing between search and the editing screens,0.0-1.0,Task1
nested document searches should not use any default filters set,1.0-2.0,Task2
deleting dependancies is failing,2.0-3.0,Task3
update loaderready classes to be compatible with v,4.0-7.0,Task5
update ldex database to match v,10.0-23.0,Task7
looking at dataset creator,1.0-2.0,Task2
system lets you change status despite validation errors,0.0-1.0,Task1
agreed by rules,0.0-1.0,Task1
update warehouse to enable stats drilling,23.0-100.0,Task8
 data cleansing to identify and fix some differences between the usm and scm data,23.0-100.0,Task8
user reference information should be restricted by project,0.0-1.0,Task1
sip time tracker,3.0-4.0,Task4
exit dialog box shown twice when exiting the app only when used from fileexit,2.0-3.0,Task3
effort type error,0.0-1.0,Task1
install sourcesafe scripter on live server,0.0-1.0,Task1
clicking category nodes in the report subsystem treeview ,0.0-1.0,Task1
release task system ,1.0-2.0,Task2
raisedby to be enabled under superuser mode,0.0-1.0,Task1
new tasks not adding to the history menu,0.0-1.0,Task1
task system licence required for  ,0.0-1.0,Task1
scms licence required for  ,0.0-1.0,Task1
task xml notes requires roles setting up,0.0-1.0,Task1
enable estimated and remaining box under superuser,0.0-1.0,Task1
tasks need rolling back to released,0.0-1.0,Task1
scm line eventing,2.0-3.0,Task3
schedule block entry,0.0-1.0,Task1
scm line eventing,3.0-4.0,Task4
